rater_id,audit_item_id,audit_row_id,task,seed,candidate_label,source_image,candidate_image,target_prompt,edit_correct_1_5,relation_correct_1_5,source_preservation_1_5,locality_1_5,artifact_severity_1_5,overall_1_5,failure_type,notes
rater_01,item_001,rater_01_item_001_A,cat_crown,10,A,images/item_001_source.jpg,images/item_001_A.png,"A photo of the same cat sitting in the same grass, wearing a small golden crown centered on top of its head between the ears.",,,,,,,,
rater_01,item_001,rater_01_item_001_B,cat_crown,10,B,images/item_001_source.jpg,images/item_001_B.png,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",,,,,,,,
rater_01,item_001,rater_01_item_001_C,cat_crown,10,C,images/item_001_source.jpg,images/item_001_C.png,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",,,,,,,,
rater_01,item_001,rater_01_item_001_D,cat_crown,10,D,images/item_001_source.jpg,images/item_001_D.png,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",,,,,,,,
rater_01,item_002,rater_01_item_002_A,cat_crown,11,A,images/item_002_source.jpg,images/item_002_A.png,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",,,,,,,,
rater_01,item_002,rater_01_item_002_B,cat_crown,11,B,images/item_002_source.jpg,images/item_002_B.png,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",,,,,,,,
rater_01,item_002,rater_01_item_002_C,cat_crown,11,C,images/item_002_source.jpg,images/item_002_C.png,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",,,,,,,,
rater_01,item_002,rater_01_item_002_D,cat_crown,11,D,images/item_002_source.jpg,images/item_002_D.png,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",,,,,,,,
rater_01,item_003,rater_01_item_003_A,cat_crown,12,A,images/item_003_source.jpg,images/item_003_A.png,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",,,,,,,,
rater_01,item_003,rater_01_item_003_B,cat_crown,12,B,images/item_003_source.jpg,images/item_003_B.png,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",,,,,,,,
