rater_id,audit_item_id,audit_row_id,family,task,seed,candidate_label,method,method_display,source_image_original,result_image_original,metric_result_image_original,selected_run,selection_reason,metric_status,anonymous_image
rater_01,item_001,rater_01_item_001_A,T1_attached_accessory,cat_crown,10,A,support_v3_controller_rmsgap,CleanEdit,experiments/support_v3_2026-06-02/normalized_512/sources/cat_crown.png,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap_t1t4_3seed_20260609/seed_10/result.png,/cluster/users/grad/2025/25t8103/project/outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap/seed_10/result.png,support_v3_controller_rmsgap_t1t4_3seed_20260609,formal T1-T4 three-seed CleanEdit rerun,needs_metric_refresh,rater_01/images/item_001_A.png
rater_01,item_001,rater_01_item_001_B,T1_attached_accessory,cat_crown,10,B,base_only,RF reconstruction / base reconstruction,experiments/support_v3_2026-06-02/normalized_512/sources/cat_crown.png,outputs/pretty_matrix/cat_crown/base_only/seed_10/result.png,/cluster/users/grad/2025/25t8103/project/outputs/pretty_matrix/cat_crown/base_only/seed_10/result.png,base_only,canonical method directory,aligned,rater_01/images/item_001_B.png
rater_01,item_001,rater_01_item_001_C,T1_attached_accessory,cat_crown,10,C,direct_target,Direct target guidance,experiments/support_v3_2026-06-02/normalized_512/sources/cat_crown.png,outputs/pretty_matrix/cat_crown/direct_target/seed_10/result.png,/cluster/users/grad/2025/25t8103/project/outputs/pretty_matrix/cat_crown/direct_target/seed_10/result.png,direct_target,canonical method directory,aligned,rater_01/images/item_001_C.png
rater_01,item_001,rater_01_item_001_D,T1_attached_accessory,cat_crown,10,D,adaptive_full_generic_support,Generic support control,experiments/support_v3_2026-06-02/normalized_512/sources/cat_crown.png,outputs/pretty_matrix/cat_crown/adaptive_full_generic_support/seed_10/result.png,/cluster/users/grad/2025/25t8103/project/outputs/pretty_matrix/cat_crown/adaptive_full_generic_support/seed_10/result.png,adaptive_full_generic_support,canonical method directory,aligned,rater_01/images/item_001_D.png
rater_01,item_002,rater_01_item_002_A,T1_attached_accessory,cat_crown,11,A,support_v3_controller_rmsgap,CleanEdit,experiments/support_v3_2026-06-02/normalized_512/sources/cat_crown.png,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap_t1t4_3seed_20260609/seed_11/result.png,/cluster/users/grad/2025/25t8103/project/outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap/seed_11/result.png,support_v3_controller_rmsgap_t1t4_3seed_20260609,formal T1-T4 three-seed CleanEdit rerun,needs_metric_refresh,rater_01/images/item_002_A.png
rater_01,item_002,rater_01_item_002_B,T1_attached_accessory,cat_crown,11,B,base_only,RF reconstruction / base reconstruction,experiments/support_v3_2026-06-02/normalized_512/sources/cat_crown.png,outputs/pretty_matrix/cat_crown/base_only/seed_11/result.png,/cluster/users/grad/2025/25t8103/project/outputs/pretty_matrix/cat_crown/base_only/seed_11/result.png,base_only,canonical method directory,aligned,rater_01/images/item_002_B.png
rater_01,item_002,rater_01_item_002_C,T1_attached_accessory,cat_crown,11,C,adaptive_full_generic_support,Generic support control,experiments/support_v3_2026-06-02/normalized_512/sources/cat_crown.png,outputs/pretty_matrix/cat_crown/adaptive_full_generic_support/seed_11/result.png,/cluster/users/grad/2025/25t8103/project/outputs/pretty_matrix/cat_crown/adaptive_full_generic_support/seed_11/result.png,adaptive_full_generic_support,canonical method directory,aligned,rater_01/images/item_002_C.png
rater_01,item_002,rater_01_item_002_D,T1_attached_accessory,cat_crown,11,D,direct_target,Direct target guidance,experiments/support_v3_2026-06-02/normalized_512/sources/cat_crown.png,outputs/pretty_matrix/cat_crown/direct_target/seed_11/result.png,/cluster/users/grad/2025/25t8103/project/outputs/pretty_matrix/cat_crown/direct_target/seed_11/result.png,direct_target,canonical method directory,aligned,rater_01/images/item_002_D.png
rater_01,item_003,rater_01_item_003_A,T1_attached_accessory,cat_crown,12,A,direct_target,Direct target guidance,experiments/support_v3_2026-06-02/normalized_512/sources/cat_crown.png,outputs/pretty_matrix/cat_crown/direct_target/seed_12/result.png,/cluster/users/grad/2025/25t8103/project/outputs/pretty_matrix/cat_crown/direct_target/seed_12/result.png,direct_target,canonical method directory,aligned,rater_01/images/item_003_A.png
rater_01,item_003,rater_01_item_003_B,T1_attached_accessory,cat_crown,12,B,adaptive_full_generic_support,Generic support control,experiments/support_v3_2026-06-02/normalized_512/sources/cat_crown.png,outputs/pretty_matrix/cat_crown/adaptive_full_generic_support/seed_12/result.png,/cluster/users/grad/2025/25t8103/project/outputs/pretty_matrix/cat_crown/adaptive_full_generic_support/seed_12/result.png,adaptive_full_generic_support,canonical method directory,aligned,rater_01/images/item_003_B.png
