rater_id,audit_item_id,audit_row_id,task,seed,candidate_label,method,method_display,source_image_original,result_image_original,anonymous_image
rater_01,item_001,rater_01_item_001_A,cat_crown,10,A,support_v3_controller_rmsgap,CleanEdit,/cluster/users/grad/2025/25t8103/project/data/paper_images/cat_sitting_in_grass.jpg,/cluster/users/grad/2025/25t8103/project/outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap/seed_10/result.png,rater_01/images/item_001_A.png
rater_01,item_001,rater_01_item_001_B,cat_crown,10,B,base_only,RF reconstruction / base reconstruction,/cluster/users/grad/2025/25t8103/project/data/paper_images/cat_sitting_in_grass.jpg,/cluster/users/grad/2025/25t8103/project/outputs/pretty_matrix/cat_crown/base_only/seed_10/result.png,rater_01/images/item_001_B.png
rater_01,item_001,rater_01_item_001_C,cat_crown,10,C,direct_target,Direct target guidance,/cluster/users/grad/2025/25t8103/project/data/paper_images/cat_sitting_in_grass.jpg,/cluster/users/grad/2025/25t8103/project/outputs/pretty_matrix/cat_crown/direct_target/seed_10/result.png,rater_01/images/item_001_C.png
rater_01,item_001,rater_01_item_001_D,cat_crown,10,D,adaptive_full_generic_support,Generic support control,/cluster/users/grad/2025/25t8103/project/data/paper_images/cat_sitting_in_grass.jpg,/cluster/users/grad/2025/25t8103/project/outputs/pretty_matrix/cat_crown/adaptive_full_generic_support/seed_10/result.png,rater_01/images/item_001_D.png
rater_01,item_002,rater_01_item_002_A,cat_crown,11,A,support_v3_controller_rmsgap,CleanEdit,/cluster/users/grad/2025/25t8103/project/data/paper_images/cat_sitting_in_grass.jpg,/cluster/users/grad/2025/25t8103/project/outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap/seed_11/result.png,rater_01/images/item_002_A.png
rater_01,item_002,rater_01_item_002_B,cat_crown,11,B,base_only,RF reconstruction / base reconstruction,/cluster/users/grad/2025/25t8103/project/data/paper_images/cat_sitting_in_grass.jpg,/cluster/users/grad/2025/25t8103/project/outputs/pretty_matrix/cat_crown/base_only/seed_11/result.png,rater_01/images/item_002_B.png
rater_01,item_002,rater_01_item_002_C,cat_crown,11,C,adaptive_full_generic_support,Generic support control,/cluster/users/grad/2025/25t8103/project/data/paper_images/cat_sitting_in_grass.jpg,/cluster/users/grad/2025/25t8103/project/outputs/pretty_matrix/cat_crown/adaptive_full_generic_support/seed_11/result.png,rater_01/images/item_002_C.png
rater_01,item_002,rater_01_item_002_D,cat_crown,11,D,direct_target,Direct target guidance,/cluster/users/grad/2025/25t8103/project/data/paper_images/cat_sitting_in_grass.jpg,/cluster/users/grad/2025/25t8103/project/outputs/pretty_matrix/cat_crown/direct_target/seed_11/result.png,rater_01/images/item_002_D.png
rater_01,item_003,rater_01_item_003_A,cat_crown,12,A,direct_target,Direct target guidance,/cluster/users/grad/2025/25t8103/project/data/paper_images/cat_sitting_in_grass.jpg,/cluster/users/grad/2025/25t8103/project/outputs/pretty_matrix/cat_crown/direct_target/seed_12/result.png,rater_01/images/item_003_A.png
rater_01,item_003,rater_01_item_003_B,cat_crown,12,B,adaptive_full_generic_support,Generic support control,/cluster/users/grad/2025/25t8103/project/data/paper_images/cat_sitting_in_grass.jpg,/cluster/users/grad/2025/25t8103/project/outputs/pretty_matrix/cat_crown/adaptive_full_generic_support/seed_12/result.png,rater_01/images/item_003_B.png
rater_01,item_003,rater_01_item_003_C,cat_crown,12,C,support_v3_controller_rmsgap,CleanEdit,/cluster/users/grad/2025/25t8103/project/data/paper_images/cat_sitting_in_grass.jpg,/cluster/users/grad/2025/25t8103/project/outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap/seed_12/result.png,rater_01/images/item_003_C.png
rater_01,item_003,rater_01_item_003_D,cat_crown,12,D,base_only,RF reconstruction / base reconstruction,/cluster/users/grad/2025/25t8103/project/data/paper_images/cat_sitting_in_grass.jpg,/cluster/users/grad/2025/25t8103/project/outputs/pretty_matrix/cat_crown/base_only/seed_12/result.png,rater_01/images/item_003_D.png
rater_01,item_004,rater_01_item_004_A,bowl_apple_inside,10,A,direct_target,Direct target guidance,/cluster/users/grad/2025/25t8103/project/data/pretty_free_candidates/pexels_empty_ceramic_bowl_phase1.jpg,/cluster/users/grad/2025/25t8103/project/outputs/pretty_matrix/bowl_apple_inside/direct_target/seed_10/result.png,rater_01/images/item_004_A.png
rater_01,item_004,rater_01_item_004_B,bowl_apple_inside,10,B,adaptive_full_generic_support,Generic support control,/cluster/users/grad/2025/25t8103/project/data/pretty_free_candidates/pexels_empty_ceramic_bowl_phase1.jpg,/cluster/users/grad/2025/25t8103/project/outputs/pretty_matrix/bowl_apple_inside/adaptive_full_generic_support/seed_10/result.png,rater_01/images/item_004_B.png
rater_01,item_004,rater_01_item_004_C,bowl_apple_inside,10,C,base_only,RF reconstruction / base reconstruction,/cluster/users/grad/2025/25t8103/project/data/pretty_free_candidates/pexels_empty_ceramic_bowl_phase1.jpg,/cluster/users/grad/2025/25t8103/project/outputs/pretty_matrix/bowl_apple_inside/base_only/seed_10/result.png,rater_01/images/item_004_C.png
